merchant_id,name
M006810,Lensza.co.id
M006813,"e-money isi ulang off-us"
M006816,babylonish
M006819,"Gotong Royong Fund"
M006828,"Pulcher Bags"
M006834,Tridii
M006843,Pesan-Aja
M006846,BarangUnik.co
M006855,"Monday To Friday"
M006858,classywithpearl
M006864,ULookGood.net
M006870,"Turtle Beach Hotel"
M006873,"Super Shopping"
M006879,"PT. Mahasarana Sukses"
M006882,IDNFinancials
M006891,MASKOOLIN
M006900,Kleora
M006903,Vela-Universo
M006906,Blackspex.id
M006912,SquLine
M006918,KadoUnik
M006921,"Jagoan Web"
M006924,"Jagoan Hosting"
M006927,"PT Bilna"
M006936,"PT Grahatour Indonesia"
M006942,"Pony and Pink"
M006957,"IndoGolf Travel"
M006960,"m-saku utility"
M006966,Tripvisto
M006969,pekku.com
M006972,"Garuda Indonesia COS"
M006978,"Capital Bakery"
M006981,"PT UITOX INDONESIA RAYA"
M007011,"Dukungan Karya Nusantara"
M007016,"Putra Bahari"
M007022,"TRAC Astra Rent Car"
M007025,Gudanghid.com
M007028,Paraplou-Vela
M007031,"Farish Shoes - Vela"
M007037,Shopdeca.com
M007040,Sportdeca.com
M007043,DealHarga
M007049,"PT Nareswari Danabrata"
M007052,PlazaKota.com
M007055,Leadershop
M007058,Airpaz
M007061,Spicegift
M007070,"Le Bijou"
M007073,Steelytoe
M007076,Conclave
M007082,Puricom
M007085,BRODO
M007088,"PAC FABU HOTELS"
M007094,"The Runway Market"
M007100,Footurama
M007103,Travels101
M007115,Telunjuk.com
M007133,SvinGolf
M007136,TipSAKTI.com
M007142,iblogmarket
M007145,"Channel B"
M007151,"Raja Speaker"
M007157,ETCLO
M007163,G2000-Vela
M007166,JOBB-Vela
M007169,"PT. MAP Active"
M007181,"PT Multipro Jaya Prima"
M007184,ulinulin-azanahotels
M007187,"Tirta Hotel"
M007190,"villa jerami"
M007196,"spa jerami"
M007199,"ulinulin yuyun patisserie"
M007205,"Expat Ally"
M007208,ulinulin-hobiku
M007211,"danica shop"
M007214,"ulinulin tone shop"
M007217,HijUp
M007220,"The Peak Connoisseurs"
M007226,"PT Luxola"
M007241,KUZTOMIT
M007247,Belisnack
M007250,Thebeautylooks
M007259,GOODNIGHT
M007268,"Dilmah Indonesia"
M007557,IniBayiku.com
M007271,"sri sri yoga"
M007280,"Cakra Elang Omega"
M007283,ADAMIST
M007292,"SJNK Indonesia"
M007296,YellowTiket
M007299,"Wakawaka Sports"
M007302,"DUTA ILMU"
M007308,Stockbit
M007317,"Toko amartacom"
M007323,RajaMobil.com
M007326,"PT. Potabox Indonesia"
M007332,"Twigs & Twine"
M007356,"Zahir Accounting"
M007368,bateeqshop
M007386,Mamaway
M007392,Tororo
M007395,cleobabys.com
M007404,"Qeon Interactive"
M007425,"TSSUITES BALI"
M007437,produk-indonesia.com
M007452,Travelio
M007464,"PT. Samara Dana Properti"
M007467,"Campina Ice Cream"
M007488,Favortopia
M007491,"CelebrAsian Media"
M007494,"One & Only Bali Weddings"
M007515,ulinulin-traffica
M007524,"TokoBuku by SCOOP"
M007548,affordable.biz.id
M007551,RajaPremi
M007560,TeknoUp
M007578,ulinulin-kiss
M007593,www.tv-voucher.com
M007602,"Seamarket Seamolec"
M007608,JYSK
M007617,"UFO Elektronika"
M007623,"Ulin - Harrisbutik"
M007626,"Ulin - Greendrops"
M007629,"baliVIP Wedding"
M007635,"Moxy Indonesia"
M007644,"PT Myglobaltrip"
M007650,BrendKaos.Com
M007653,RADNET
M007659,"Made In heaven Kids"
M007674,"Character Land"
M007677,butik-fashionDotCom
M007680,MNCSHOP
M007683,"PT. Spavista"
M007686,Mesinlaundry
M007689,"Bass Audio"
M007692,"Trinity Mobile"
M007698,kukeren
M007701,"Mandiri Testing"
M007707,"theBalm Indonesia"
M007710,livaza.com
M007716,"atlantic cell"
M007728,"PT SCI"
M007731,GAMEZONE
