id,decision,friendly_name,aasm_state,identifier,override,approved_at
55195,deny,Customer phone is restricted,approved,CB0021445,1,2015-08-04 05:42:44
55197,deny,Email address is restricted,approved,CB0021446,1,2015-08-04 05:44:25
55199,deny,Card number is restricted,approved,CB0021447,1,2015-08-04 05:44:31
55201,deny,Customer phone is restricted,approved,CB0021448,1,2015-08-04 05:44:39
55203,deny,Card number is restricted,approved,CB0021449,1,2015-08-04 05:45:34
55205,deny,Card number is restricted,approved,CB0021450,1,2015-08-04 05:45:41
55207,deny,Card number is restricted,approved,CB0021451,1,2015-08-04 05:45:49
55209,deny,Card number is restricted,approved,CB0021452,1,2015-08-04 05:45:56
55211,deny,Card number is restricted,approved,CB0021453,1,2015-08-04 05:46:04
55213,deny,Card number is restricted,approved,CB0021454,1,2015-08-04 05:46:11
55215,deny,Card number is restricted,approved,CB0021455,1,2015-08-04 05:46:19
55217,deny,Card number is restricted,approved,CB0021456,1,2015-08-04 05:46:26
55219,deny,Card number is restricted,approved,CB0021457,1,2015-08-04 05:46:34
55221,deny,Card number is restricted,approved,CB0021458,1,2015-08-04 05:46:40
55223,deny,Card number is restricted,approved,CB0021459,1,2015-08-04 05:46:48
55225,deny,Card number is restricted,approved,CB0021460,1,2015-08-04 05:46:55
55227,deny,Card number is restricted,approved,CB0021460,1,2015-08-04 05:47:02
55229,deny,Card number is restricted,approved,CB0021461,1,2015-08-04 05:47:03
55231,deny,Card number is restricted,approved,CB0021461,1,2015-08-04 05:47:09
55233,deny,Card number is restricted,approved,CB0021462,1,2015-08-04 05:47:10
55235,deny,Customer phone is restricted,approved,CB0021462,1,2015-08-04 05:47:17
55237,deny,Card number is restricted,approved,CB0021463,1,2015-08-04 05:47:18
55239,deny,Card number is restricted,approved,CB0021464,1,2015-08-04 05:47:25
55241,deny,Card number is restricted,approved,CB0021465,1,2015-08-04 05:47:33
55243,deny,Card number is restricted,approved,CB0021466,1,2015-08-04 05:47:40
55245,deny,Card number is restricted,approved,CB0021467,1,2015-08-04 05:47:48
55247,deny,Customer phone is restricted,approved,CB0021468,1,2015-08-04 05:47:55
55249,deny,Customer phone is restricted,approved,CB0021469,1,2015-08-04 05:48:03
55251,deny,Customer phone is restricted,approved,CB0021470,1,2015-08-04 05:48:11
55253,deny,Customer phone is restricted,approved,CB0021471,1,2015-08-04 05:48:18
55255,deny,Customer phone is restricted,approved,CB0021472,1,2015-08-04 05:48:26
55257,deny,Email address is restricted,approved,CB0021473,1,2015-08-04 05:48:39
55259,deny,Card number is restricted,approved,CB0021474,1,2015-08-04 05:48:46
55261,deny,Card number is restricted,approved,CB0021475,1,2015-08-04 05:48:53
55263,deny,Customer phone is restricted,approved,CB0021476,1,2015-08-04 05:49:01
55265,deny,Card number is restricted,approved,CB0021477,1,2015-08-04 05:50:05
55267,deny,Card number is restricted,approved,CB0021478,1,2015-08-04 05:50:12
55269,deny,Email address is restricted,approved,CB0021479,1,2015-08-04 05:50:42
55271,deny,Card number is restricted,approved,CB0021480,1,2015-08-04 05:50:49
55273,deny,Customer phone is restricted,approved,CB0021481,1,2015-08-04 05:50:57
55275,deny,Card number is restricted,approved,CB0021482,1,2015-08-04 05:53:38
55277,deny,Card number is restricted,approved,CB0021483,1,2015-08-04 05:53:45
55279,deny,Card number is restricted,approved,CB0021484,1,2015-08-04 05:53:53
